,Year,Month,Day,State,Latitude,Longitude,Suburb
2330,1980,1,1,Queensland,-27.131667,152.084444,Anduramba
2331,2017,1,15,Queensland,-28.153205,153.22543,Numinbah Valley
2332,1990,12,1,Queensland,-19.487895,146.970546,Mount Elliot (Qld)
2333,1997,5,19,Queensland,-26.0402,152.635427,Curra
2334,1996,10,29,Queensland,-26.671995,152.869404,Montville
2335,2007,4,21,Queensland,-19.202059,146.055148,Paluma
2336,1979,1,1,Queensland,-27.281667,152.034444,Crows Nest (Qld)
2337,2004,1,17,Queensland,-27.852931,153.173585,Tamborine
2338,2005,11,3,Queensland,-19.34067,146.68021,Gumlow
2339,2004,10,20,Queensland,-21.242862,148.48312,Eungella Dam
2340,1974,1,1,Queensland,-20.715,142.684444,Maxwelton
2341,1991,8,1,Queensland,-22.815,150.328333,Shoalwater (Qld)
2342,1993,2,1,Queensland,-26.623406,152.942727,Nambour
2343,1993,12,1,Queensland,-26.906739,152.976062,Glass House Mountains
2344,2012,5,12,Queensland,-21.46401,148.02311,Burton (Qld)
2345,1990,11,1,Queensland,-27.390074,152.576073,Wivenhoe Hill
2346,1986,1,1,Queensland,-27.523402,153.209397,Capalaba
2347,2015,8,30,Queensland,-13.42332,142.49226,Archer River
2348,1999,1,1,Queensland,-23.748695,151.106333,Targinnie
2349,2013,12,10,Queensland,-16.394861,145.2985,Syndicate
2350,1992,12,6,Queensland,-27.823403,153.076069,Jimboomba
2351,1974,1,1,Queensland,-25.565,150.417778,Eidsvold West
2352,1976,4,21,Queensland,-20.34844,148.726083,Cape Conway
2353,1978,5,24,Queensland,-13.706824,142.959455,Coen
2354,1997,7,13,Queensland,-24.625318,151.559646,Gindoran
2355,2000,3,9,Queensland,-24.010562,149.827193,Kokotungo
2356,2011,3,8,Queensland,-25.62727,149.79277,Taroom
2357,1979,1,1,Queensland,-20.531667,142.984444,Burleigh
2358,1997,2,14,Queensland,-26.82356,152.680262,Bellthorpe
2359,1979,1,1,Queensland,-16.201111,144.741389,Lakeland
2360,2008,10,25,Queensland,-13.42064,142.54963,Archer River
2361,1997,1,23,Queensland,-28.184211,153.094802,Kerry
2362,2006,5,25,Queensland,-20.647084,147.623868,Springlands
2363,2006,7,9,Queensland,-20.941904,147.804682,Newlands (Qld)
2364,1992,6,1,Queensland,-26.126194,151.81774,Cloyna
2365,1977,1,1,Queensland,-21.965,146.084444,Pentland
2366,2000,1,1,Queensland,-27.552568,153.424394,North Stradbroke Island
2367,1992,6,29,Queensland,-27.390074,152.509407,Coominya
2368,2008,10,25,Queensland,-13.42064,142.54963,Archer River
2369,1999,12,2,Queensland,-19.06549,146.43259,Clemant
2370,2017,10,1,Queensland,-17.86912,145.36392,Glen Ruth
2371,2011,1,19,Queensland,-23.23865,144.260469,Longreach (Qld)
2372,2016,10,26,Queensland,-13.427637,142.592984,Coen
2373,1991,4,16,Queensland,-26.752019,152.666899,Conondale
2374,1998,2,14,Queensland,-19.09765,146.45352,Clemant
2375,1940,1,1,Queensland,-25.515,152.051111,Biggenden
2376,1998,1,1,Queensland,-19.281786,146.784437,Gulliver
2377,1999,11,9,Queensland,-28.231389,153.361389,Currumbin Valley
2378,2001,10,13,Queensland,-26.718056,153.025278,Tanawha
2379,2007,4,16,Queensland,-19.071779,146.015153,Paluma
2380,2016,10,27,Queensland,-13.427637,142.592984,Coen
2381,1997,6,30,Queensland,-25.351698,152.429305,Duckinwilla
2382,1992,7,7,Queensland,-27.40674,152.626072,Wivenhoe Pocket
2383,1950,1,1,Queensland,-18.165,145.334444,Minnamoolka
2384,2015,3,14,Queensland,-21.69847,148.07616,Burton (Qld)
2385,1992,5,1,Queensland,-25.527582,151.913566,Didcot
2386,2009,1,1,Queensland,-18.226389,144.668889,Mount Surprise
2387,1990,4,1,Queensland,-20.656111,148.706667,Midge Point
2388,1981,8,12,Queensland,-24.315085,151.955224,Deepwater (Qld)
2389,1998,5,11,Queensland,-23.298423,149.926086,Glenroy (Qld)
2390,1998,12,19,Queensland,-18.609153,145.63819,Valley Of Lagoons
2391,1998,2,16,Queensland,-25.391624,153.027882,Fraser Island
2392,1979,1,1,Queensland,-21.615,149.251111,Koumala
2393,1996,1,1,Queensland,-25.450918,150.043041,Spring Creek (Banana - Qld)
2394,1992,1,1,Queensland,-24.898416,151.001073,Coominglah Forest
2395,1993,10,19,Queensland,-12.710494,143.297783,Iron Range
2396,1993,4,1,Queensland,-28.106736,152.959406,Laravale
2397,2011,1,19,Queensland,-28.195,153.099167,Kerry
2398,1996,5,2,Queensland,-27.514439,152.507957,Prenzlau
2399,1995,7,2,Queensland,-25.882864,152.63361,Bauple Forest
2400,2000,3,28,Queensland,-25.159926,150.151631,Isla
2401,1992,10,14,Queensland,-27.673401,153.392729,Russell Island
2402,1974,1,1,Queensland,-27.615,152.934444,Carole Park
2403,1969,1,1,Queensland,-17.365,141.501111,Howitt
2404,1993,5,20,Queensland,-12.615327,143.43128,Iron Range
2405,1963,1,1,Queensland,-24.681667,151.134444,Monal
2406,1992,10,1,Queensland,-28.1234,153.292734,Numinbah Valley
2407,2010,4,22,Queensland,-17.4839,138.18174,Nicholson (Qld)
2408,1996,3,14,Queensland,-17.437081,145.390542,Kalunga
2409,1996,5,4,Queensland,-26.867975,152.958779,Beerwah
2410,1974,1,1,Queensland,-21.098333,149.184444,Andergrove
2411,1994,12,17,Queensland,-17.280561,145.379305,Watsonville
2412,1979,1,1,Queensland,-18.131667,144.717778,Forty Mile
2413,1978,1,1,Queensland,-18.115,139.951111,Carpentaria
2414,1992,6,29,Queensland,-27.340075,152.392742,Mount Hallen
2415,2015,1,3,Queensland,-27.622291,152.253572,Lower Tenthill
2416,2018,12,4,Queensland,-12.662203,141.851213,Evans Landing
2417,2005,2,14,Queensland,-27.417502,153.460359,North Stradbroke Island
2418,1994,3,8,Queensland,-24.450019,150.941265,Valentine Plains
2419,1974,1,1,Queensland,-20.881667,144.384444,Prairie (Qld)
2420,1994,1,1,Queensland,-26.373406,153.016335,Tewantin
2421,1972,1,1,Queensland,-19.365,143.167778,Bellfield (Qld)
2422,1974,1,1,Queensland,-18.648333,146.167778,Ingham
2423,2016,9,11,Queensland,-16.510945,145.032158,Mount Carbine
2424,1974,1,1,Queensland,-25.498333,152.992778,Fraser Island
2425,2005,2,15,Queensland,-26.870985,152.795674,Cedarton
2426,1999,11,30,Queensland,-24.653993,150.984341,Cania
2427,1997,11,30,Queensland,-26.800189,152.852154,Crohamhurst
2428,2013,2,28,Queensland,-27.498111,152.96577,Indooroopilly
2429,1990,1,1,Queensland,-27.669237,152.967736,Greenbank
2430,1996,1,22,Queensland,-25.639253,149.804162,Taroom
2431,2000,3,29,Queensland,-25.350683,150.165973,Isla
2432,2002,2,22,Queensland,-27.809167,153.054722,Jimboomba
2433,1999,4,12,Queensland,-23.309685,150.147386,Morinish
2434,1992,10,1,Queensland,-28.140067,153.292734,Austinville
2435,1997,9,16,Queensland,-27.520412,152.897392,Pullenvale
2436,2007,2,1,Queensland,-26.36178,152.702093,Kandanga
2437,1993,6,30,Queensland,-26.30674,152.976057,Cootharaba
2438,2000,3,29,Queensland,-24.146077,149.770686,Barnard
2439,1976,6,9,Queensland,-16.921451,145.699629,Redlynch
2440,1993,12,1,Queensland,-27.673403,153.092734,Marsden
2441,2014,8,11,Queensland,-13.042788,142.875825,Archer River
2442,1993,8,8,Queensland,-15.410817,142.932794,Maramie
2443,2002,4,9,Queensland,-22.782902,149.892619,Marlborough
2444,1983,10,12,Queensland,-24.435918,151.901058,Baffle Creek
2445,1962,1,1,Queensland,-17.556667,145.517778,Evelyn
2446,1993,4,1,Queensland,-26.673405,153.059392,Buderim
2447,2003,11,25,Queensland,-20.611389,139.547222,Mount Isa
2448,2011,4,14,Queensland,-19.48694,139.39072,Gunpowder
2449,2003,1,23,Queensland,-25.394523,152.448153,Duckinwilla
2450,1996,1,1,Queensland,-21.045556,148.626111,Eungella Hinterland
2451,1994,12,16,Queensland,-17.265734,145.447056,Atherton
2452,2020,2,24,Queensland,-25.920102,152.64897,Glenwood (Qld)
2453,1987,7,1,Queensland,-22.898423,150.217749,Kunwarara
2454,1993,2,1,Queensland,-27.456736,153.159397,Wynnum West
2455,2003,2,15,Queensland,-26.59694,152.72972,Kenilworth
2456,1995,6,21,Queensland,-27.8057,153.2125,Kingsholme
2457,2006,6,9,Queensland,-20.713248,147.663512,Newlands (Qld)
2458,2014,12,16,Queensland,-16.5894,145.226873,Mount Carbine
2459,2012,2,25,Queensland,-20.12035,146.91249,Ravenswood (Qld)
2460,1974,1,1,Queensland,-27.865,152.484444,Rosevale (Qld)
2461,2012,11,9,Queensland,-25.149831,152.601101,Woodgate
2462,2003,12,15,Queensland,-28.134458,153.112314,Sarabah
2463,2007,7,16,Queensland,-28.072971,152.425487,Clumber
2464,1998,10,14,Queensland,-26.343813,152.393773,Wrattens Forest
2465,1996,1,1,Queensland,-25.455085,150.026931,Spring Creek (Banana - Qld)
