,Year,Month,Day,State,Latitude,Longitude,postcode,state_code,Suburb,combined_location
12929,2022,2,11,Northern Territory,-15.31077,132.86639,852,Northern Territory,Sturt Plateau,"Sturt Plateau, 852, Northern Territory"
12930,2017,7,7,Northern Territory,-17.41853,137.78871,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12931,2019,8,10,Northern Territory,-12.52577,130.8735,822,Northern Territory,Wickham,"Wickham, 822, Northern Territory"
12932,2016,9,17,Northern Territory,-13.557681,132.362494,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12933,2016,10,25,Northern Territory,-12.904092,132.890698,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12934,2017,7,17,Northern Territory,-16.87857,137.82202,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12935,2019,10,7,Northern Territory,-12.52577,130.8735,822,Northern Territory,Wickham,"Wickham, 822, Northern Territory"
12936,2020,10,28,Northern Territory,-14.407613,132.413993,850,Northern Territory,Lansdowne,"Lansdowne, 850, Northern Territory"
12937,2018,11,14,Northern Territory,-12.37367,131.23595,822,Northern Territory,Koolpinyah,"Koolpinyah, 822, Northern Territory"
12938,2017,7,18,Northern Territory,-16.88956,137.83575,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12939,2009,8,7,Northern Territory,-15.58761,136.59418,852,Northern Territory,Pellew Islands,"Pellew Islands, 852, Northern Territory"
12940,2010,7,4,Northern Territory,-13.929901,131.194259,822,Northern Territory,Douglas-Daly,"Douglas-Daly, 822, Northern Territory"
12941,2013,6,30,Northern Territory,-16.06451,137.25853,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12942,2009,2,24,Northern Territory,-12.41413,130.95179,828,Northern Territory,Knuckey Lagoon,"Knuckey Lagoon, 828, Northern Territory"
12943,2016,7,13,Northern Territory,-16.60216,137.47276,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12944,2017,3,10,Northern Territory,-12.469597,133.740014,822,Northern Territory,West Arnhem,"West Arnhem, 822, Northern Territory"
12945,2014,8,15,Northern Territory,-14.201302,134.114623,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12946,2017,4,30,Northern Territory,-14.20272,132.63065,852,Northern Territory,Nitmiluk,"Nitmiluk, 852, Northern Territory"
12947,2009,1,22,Northern Territory,-12.539,131.123,836,Northern Territory,Herbert,"Herbert, 836, Northern Territory"
12948,2017,5,8,Northern Territory,-12.695837,133.318224,822,Northern Territory,West Arnhem,"West Arnhem, 822, Northern Territory"
12949,2021,9,29,Northern Territory,-14.87232,133.11101,852,Northern Territory,Elsey,"Elsey, 852, Northern Territory"
12950,2016,7,29,Northern Territory,-16.22582,137.6801,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12951,2010,10,28,Northern Territory,-12.6763,131.0217,822,Northern Territory,Weddell,"Weddell, 822, Northern Territory"
12952,2016,10,18,Northern Territory,-12.912115,132.6432,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12953,2017,5,17,Northern Territory,-12.692808,133.336751,822,Northern Territory,West Arnhem,"West Arnhem, 822, Northern Territory"
12954,2011,7,26,Northern Territory,-14.232485,134.109606,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12955,2017,6,2,Northern Territory,-16.04795,130.38104,852,Northern Territory,Gregory,"Gregory, 852, Northern Territory"
12956,2021,10,3,Northern Territory,-14.87232,133.11101,852,Northern Territory,Elsey,"Elsey, 852, Northern Territory"
12957,2013,8,20,Northern Territory,-14.2867,134.48151,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12958,2012,8,18,Northern Territory,-14.184983,134.6111,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12959,2009,5,27,Northern Territory,-12.256018,134.075797,822,Northern Territory,West Arnhem,"West Arnhem, 822, Northern Territory"
12960,2017,4,11,Northern Territory,-14.19528,132.242854,852,Northern Territory,Nitmiluk,"Nitmiluk, 852, Northern Territory"
12961,2018,8,6,Northern Territory,-12.54645,131.19981,836,Northern Territory,Herbert,"Herbert, 836, Northern Territory"
12962,2004,2,20,Northern Territory,-13.09532,132.99378,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12963,2022,5,6,Northern Territory,-14.93448,133.12425,852,Northern Territory,Elsey,"Elsey, 852, Northern Territory"
12964,2015,3,1,Northern Territory,-13.758719,131.825498,847,Northern Territory,Pine Creek,"Pine Creek, 847, Northern Territory"
12965,2022,2,4,Northern Territory,-14.93632,133.18527,852,Northern Territory,Elsey,"Elsey, 852, Northern Territory"
12966,2016,11,6,Northern Territory,-12.861106,132.955786,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12967,2014,8,10,Northern Territory,-14.146668,134.465851,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12968,2019,5,22,Northern Territory,-13.53829,132.26381,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12969,2007,11,18,Northern Territory,-13.012937,130.972733,822,Northern Territory,Rum Jungle,"Rum Jungle, 822, Northern Territory"
12970,2014,3,31,Northern Territory,-12.68378,132.41653,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12971,2018,12,19,Northern Territory,-12.4623,131.19267,822,Northern Territory,Koolpinyah,"Koolpinyah, 822, Northern Territory"
12972,2013,8,16,Northern Territory,-14.21373,134.58018,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12973,2019,4,3,Northern Territory,-13.513,132.50748,852,Northern Territory,Gulung Mardrulk,"Gulung Mardrulk, 852, Northern Territory"
12974,2012,8,18,Northern Territory,-14.184983,134.6111,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12975,2015,9,5,Northern Territory,-14.20753,130.95526,822,Northern Territory,Tipperary,"Tipperary, 822, Northern Territory"
12976,2011,11,18,Northern Territory,-16.26547,137.74025,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12977,2013,8,16,Northern Territory,-14.21373,134.58018,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12978,2019,6,1,Northern Territory,-13.513,132.50748,852,Northern Territory,Gulung Mardrulk,"Gulung Mardrulk, 852, Northern Territory"
12979,2011,4,15,Northern Territory,-14.20392,132.32184,852,Northern Territory,Nitmiluk,"Nitmiluk, 852, Northern Territory"
